Line,AG_ALARM,AG_CHG,AG_CHG_OK,AG_CONFIDENCE,AG_DEV,AG_DUPLICATES_GROUP,AG_I_TOO_HIGH_ALARM,AG_M_SD_ALARM,AG_M_TOLERANCE_ALARM,AG_M_TOO_HIGH_ALARM,AG_M_TOO_LOW_ALARM,AG_NORMALIZED_IP[0],AG_NORMALIZED_IP[1],AG_NORMALIZED_IP[2],AG_NORMALIZED_IP[3],AG_NORMALIZED_IP[4],AG_NORMALIZED_IP[5],AG_NORMALIZED_IP[6],AG_NORMALIZED_IP[7],AG_NORMALIZED_IP[8],AG_NORMALIZED_IP[9],AG_NORMALIZED_IP[10],AG_NORMALIZED_IP[11],AG_NORMALIZED_IP[12],AG_NORMALIZED_IP[13],AG_NORMALIZED_IP[14],AG_NORMALIZED_IP[15],AG_NORMALIZED_IP[16],AG_NORMALIZED_IP[17],AG_NORMALIZED_IP[18],AG_NORMALIZED_IP[19],AG_RS_TOO_HIGH_ALARM,AG_VALID_WINDOWS_COUNT,AG_VP_TOO_LOW_ALARM,Chg,ColeM,ColeRMS,ColeTau,Date,DayTime,I,IP[0],IP[1],IP[2],IP[3],IP[4],IP[5],IP[6],IP[7],IP[8],IP[9],IP[10],IP[11],IP[12],IP[13],IP[14],IP[15],IP[16],IP[17],IP[18],IP[19],IP_Avg,MF,N,Name,Overload,Q,QC,QC_IP,QC_RES,R1X,R1Y,R1Z,R2X,R2Y,R2Z,ResCalc,ResMeas,RsCheck,RxBat,Sp,Stack,Stn,T1X,T1Y,T1Y_SEQUENCE,T1Z,T2X,T2Y,T2Z,Temp,Time,Topo,TxBat,Type,Vp,X,Y,Z
L44002,0,0.901673972606659,1,100,0.103555105626583,0,0,0,0,0,0,1.19913291931152,1.16042840480804,1.14250719547272,1.09166741371155,1.06229770183563,1.04032492637634,1.00504529476166,0.99074250459671,0.966215252876282,0.950742363929749,0.929814279079437,0.922253608703613,0.909838318824768,0.908145010471344,0.882294535636902,0.869761884212494,0.866293132305145,0.803322434425354,0.856850445270538,0.833161473274231,0,20,0,0.882352539896965,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,2.14130878448486,1.81316947937012,1.58681547641754,1.39957368373871,1.24976193904877,1.14321422576904,1.03612911701202,0.961885929107666,0.878377497196198,0.819605529308319,0.755946576595306,0.714925289154053,0.67395430803299,0.644074499607086,0.600200355052948,0.564780473709106,0.541433215141296,0.483929187059402,0.498168855905533,0.468068242073059,0.948766133189201,3.81684344410072,1.5,W:\P\E710,0,0.00897029973566532,1,1,1,4400,-2462.5,,4400,-2425,,248.573499826304,198.858047485352,0.513948619365692,12.8446283340454,-21.4211940765381,6,-2490.625,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,618.918518066406,4400,-2490.625,-28.125
L44002,0,0.72087836265564,1,100,0.0671438649296761,0,0,0,0,0,0,0.872483253479004,0.87226003408432,0.875976085662842,0.85963499546051,0.857815742492676,0.817088544368744,0.795427322387695,0.781764388084412,0.794597387313843,0.760317862033844,0.795150876045227,0.757922828197479,0.732930839061737,0.759038925170898,0.71404755115509,0.696175873279572,0.64953750371933,0.614711761474609,0.784599661827087,0.7112797498703,0,20,0,0.69697184085846,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,1.55800580978394,1.36290633678436,1.21663343906403,1.10209619998932,1.00919497013092,0.897899448871613,0.820028126239777,0.758994579315186,0.722361266613007,0.655446469783783,0.646464109420776,0.587537109851837,0.54291170835495,0.538325488567352,0.485746622085571,0.452062249183655,0.405960947275162,0.370308309793472,0.456162601709366,0.399595379829407,0.749432058632374,2.96486198770391,2.5,W:\P\E710,0,0.0127234514802694,1,1,1,4400,-2425,,4400,-2387.5,,252.771313383379,346.654296875,0.497327208518982,12.8446283340454,-1.71261775493622,6,-2471.875,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,269.728546142578,4400,-2471.875,-46.875
L44002,0,0.439932525157928,1,100,0.0705709457397461,0,0,0,0,0,0,0.609983861446381,0.571244776248932,0.552742600440979,0.54781299829483,0.531803131103516,0.585499048233032,0.473963797092438,0.493522554636002,0.448402106761932,0.493636548519135,0.453532159328461,0.420204728841782,0.39772167801857,0.463301301002502,0.427916169166565,0.436825960874558,0.384778618812561,0.290832102298737,0.467061460018158,0.410129219293594,0,20,0,0.433934092819691,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,1.08925688266754,0.892569959163666,0.767698049545288,0.702324390411377,0.625650703907013,0.643405497074127,0.488622456789017,0.479148119688034,0.407638281583786,0.425548762083054,0.368725329637527,0.325740098953247,0.294608652591705,0.328582495450974,0.291099429130554,0.283653229475021,0.240486636757851,0.175200060009956,0.271547347307205,0.230409681797028,0.466595803201199,1.60503477561332,3.5,W:\P\E710,0,0.021149892359972,1,1,1,4400,-2387.5,,4400,-2350,,290.707597299816,553.717529296875,0.484665364027023,12.8446283340454,-14.5261116027832,6,-2453.125,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,172.336990356445,4400,-2453.125,-65.625
L44002,0,0.500584721565247,1,100,0.0837430655956268,0,0,0,0,0,0,0.598639667034149,0.531422734260559,0.684550940990448,0.601972341537476,0.539717733860016,0.615524590015411,0.6272052526474,0.521361470222473,0.575303792953491,0.624994516372681,0.55106258392334,0.506360292434692,0.546517431735992,0.60187840461731,0.426820546388626,0.494605183601379,0.285640925168991,0.376141250133514,0.525562703609467,0.529981374740601,0,20,0,0.485459459424019,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,1.0689994096756,0.830348074436188,0.950765132904053,0.771759450435638,0.634962022304535,0.676400601863861,0.646603345870972,0.506176173686981,0.523003458976746,0.538788378238678,0.448018342256546,0.392527371644974,0.40482771396637,0.426864147186279,0.29035410284996,0.321172207593918,0.17852558195591,0.226591110229492,0.305559694766998,0.297742336988449,0.521999432891607,1.62604100791689,4.5,W:\P\E710,0,0.0228776838630438,1,1,1,4400,-2350,,4400,-2312.5,,321.024765273502,778.21337890625,0.446539580821991,12.8446283340454,1.06994616985321,6,-2434.375,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,121.104248046875,4400,-2434.375,-84.375
L44002,0,0.367457449436188,1,100,0.0663215219974518,0,0,0,0,0,0,0.468746781349182,0.438333123922348,0.392548382282257,0.431680619716644,0.444485932588577,0.510179996490479,0.416436016559601,0.431065261363983,0.428703248500824,0.406069546937943,0.377957761287689,0.366753876209259,0.310137540102005,0.436369776725769,0.411985754966736,0.394113212823868,0.3052858710289,0.179245471954346,0.310123264789581,0.44208824634552,0,20,0,0.357408168017864,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,0.837047815322876,0.684895515441895,0.545206069946289,0.553436696529388,0.522924602031708,0.560637354850769,0.429315477609634,0.418509960174561,0.389730215072632,0.35005995631218,0.307282716035843,0.284305334091187,0.229731515049934,0.309482127428055,0.280262410640717,0.25591766834259,0.190803661942482,0.107979200780392,0.18030421435833,0.248364195227623,0.384309835359454,0.948858821417418,5.5,W:\P\E710,0,0.022286107763648,1,1,1,4400,-2312.5,,4400,-2275,,405.023199115509,1189.51257324219,0.420939683914185,12.8446283340454,6.86980438232422,6,-2415.625,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,105.776878356934,4400,-2415.625,-103.125
L44002,0,0.327034801244736,1,100,0.116152077913284,0,0,0,0,0,0,0.422272682189941,0.305009752511978,0.403738081455231,0.455456137657166,0.331602454185486,0.435211002826691,0.378165900707245,0.27422297000885,0.421131283044815,0.531306624412537,0.279888689517975,0.31147512793541,0.35771769285202,0.491363286972046,0.285743117332459,0.200599625706673,0.0483019202947617,0.123775117099285,0.435484170913696,0.540541589260101,0,20,0,0.316635590493679,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,0.754058361053467,0.476577758789063,0.56074732542038,0.583918154239655,0.390120536088943,0.478253841400146,0.389861732721329,0.266235888004303,0.382846623659134,0.458022952079773,0.227551773190498,0.241453602910042,0.264976054430008,0.348484605550766,0.194383069872856,0.130259498953819,0.030188700184226,0.0745633244514465,0.253188461065292,0.303675055503845,0.34046836597845,0.740205020829598,6.5,W:\P\E710,0,0.0425197370350361,1,1,1,4400,-2275,,4400,-2237.5,,459.964950787369,1584.97338867188,0.461828261613846,12.8446283340454,-0.222641468048096,6,-2396.875,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,88.0896682739258,4400,-2396.875,-121.875
L44002,0,0.220010608434677,1,100,0.118085443973541,0,0,0,0,0,0,0.365325748920441,0.279594331979752,0.276340991258621,0.269185036420822,0.286313414573669,0.426467299461365,0.251857340335846,0.176555871963501,0.262416660785675,0.349289983510971,0.183687582612038,0.230793133378029,0.161711543798447,0.346058368682861,0.0237834602594376,0.214909359812737,0.126486390829086,-0.142300456762314,0.389956504106522,0.252978712320328,0,20,0,0.223466763049364,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,0.652367413043976,0.436866164207459,0.38380691409111,0.345109015703201,0.336839318275452,0.468645364046097,0.259646743535995,0.171413466334343,0.238560602068901,0.301112055778503,0.149339497089386,0.178909406065941,0.119786329567432,0.245431467890739,0.0161792244762182,0.139551535248756,0.0790539905428886,-0.0857231691479683,0.226718902587891,0.142122879624367,0.240286856051534,0.43709935598389,7.5,W:\P\E710,0,0.0215224884450436,1,1,1,4400,-2237.5,,4400,-2200,,549.730519530646,2172.79663085938,0.467511385679245,12.8446283340454,6.3939471244812,6,-2378.125,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,80.5061798095703,4400,-2378.125,-140.625
L44002,0,0.147445932030678,1,100,0.185296788811684,0,0,0,0,0,0,0.332250624895096,0.225642904639244,0.320525079965591,0.274059981107712,0.24530765414238,0.351092427968979,0.0956083536148071,0.258585155010223,0.106078393757343,0.24947988986969,0.113712713122368,0.0716214329004288,0.162131816148758,0.420106291770935,-0.0900991708040237,-0.0536126866936684,-0.212298274040222,-0.344026654958725,0.426070034503937,0.218643710017204,0,20,0,0.166398732662201,0,0,0,2023.41095890411,11.8141666666667,2.20000004768372,0.593304693698883,0.352567046880722,0.445173710584641,0.351358979940414,0.288597226142883,0.38581582903862,0.0985653102397919,0.251053541898727,0.0964348986744881,0.215068876743317,0.0924493595957756,0.0555204935371876,0.120097637176514,0.297947734594345,-0.0612919516861439,-0.0348134338855743,-0.132686421275139,-0.207244977355003,0.247715130448341,0.122833549976349,0.178923361748457,0.296160169771876,8.5,W:\P\E710,0,0.0654741376638412,1,1,1,4400,-2200,,4400,-2162.5,,604.143905935347,2692.95483398438,0.445950150489807,12.8446283340454,-3.89134979248047,6,-2359.375,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,69.8455123901367,4400,-2359.375,-159.375
L44002,0,0.099736712872982,1,100,0.233283460140228,0,0,0,0,0,0,0.224452063441277,0.0217660013586283,0.265799522399902,0.234242409467697,0.226766869425774,0.253279626369476,0.0821893215179443,0.0567330494523048,0.116219311952591,0.197618335485458,-0.151228621602058,-0.105645857751369,0.0303325857967138,0.507768929004669,0.139334306120873,-0.0647759437561035,0.303213208913803,-0.746269881725311,0.365388154983521,0.187692523002625,0,20,0,0.109439010098577,0,0,0,2023.41095890411,11.8144444444444,2.20000004768372,0.40080726146698,0.0340093784034252,0.369165986776352,0.300310790538788,0.26678454875946,0.278329253196716,0.0847312584519386,0.055080633610487,0.105653919279575,0.170360639691353,-0.122950099408627,-0.0818960145115852,0.0224685817956924,0.360119819641113,0.0947852358222008,-0.0420623011887074,0.189508244395256,-0.449560195207596,0.212434962391853,0.105445243418217,0.117676357366145,0.185035925794079,9.5,W:\P\E710,0,0.161975264549255,1,1,1,4400,-2162.5,,4400,-2125,,635.964917953841,3155.23046875,0.496703237295151,12.8446283340454,-2.2052013874054,6,-2340.625,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,59.5165824890137,4400,-2340.625,-178.125
L44002,0,-0.172368228435516,1,100,0.331463843584061,0,0,0,0,0,0,-0.122620485723019,-0.268165349960327,-0.00583598297089338,0.0272818505764008,-0.377292990684509,-0.0685527697205544,-0.241239845752716,-0.127179205417633,-0.0150570059195161,-0.080062061548233,-0.310970455408096,-0.260691285133362,-0.112833380699158,0.220527723431587,-0.20033061504364,-0.182667642831802,-1.08152341842651,-1.11114263534546,0.203235611319542,0.408276349306107,0,20,0,-0.149728058427572,0,0,0,2023.41095890411,11.8144444444444,2.20000004768372,-0.218965157866478,-0.419008374214172,-0.00810553133487701,0.0349767319858074,-0.443874090909958,-0.0753327086567879,-0.248700857162476,-0.123474955558777,-0.0136881871148944,-0.0690190196037292,-0.252821505069733,-0.20208628475666,-0.0835802778601646,0.15640264749527,-0.136279329657555,-0.118615351617336,-0.675952136516571,-0.669363021850586,0.118160240352154,0.229368731379509,-0.160997921926901,-0.220817793755379,10.5,W:\P\E710,0,0.148507505655289,1,1,1,4400,-2125,,4400,-2087.5,,729.098498761625,3984.02465820313,0.551320374011993,12.8446283340454,-6.08373785018921,6,-2321.875,4400,-2518.75,-2500,,4400,-2700,,41.1730194091797,2000,,0,0,56.3624076843262,4400,-2321.875,-196.875
